# of rules,trial,gpt-4o-mini,Gpt-4.1
5,1,100%,100%
5,2,100%,100%
5,3,100%,100%
5,4,100%,100%
5,5,100%,100%
10,1,80%,100%
10,2,90%,100%
10,3,100%,100%
10,4,100%,100%
10,5,90%,100%
20,1,90%,100%
20,2,75%,100%
20,3,90%,100%
20,4,90%,100%
20,5,90%,100%
40,1,60%,95%
40,2,75%,100%
40,3,75%,100%
40,4,75%,98%
40,5,65%,95%
80,1,29%,89%
80,2,25%,93%
80,3,54%,93%
80,4,53%,95%
80,5,41%,88%
100,1,41%,86%
100,2,40%,89%
100,3,39%,84%
100,4,44%,95%
100,5,37%,87%
200,1,21%,58%
200,2,16%,54%
200,3,20%,59%
200,4,17%,56%
200,5,21%,48%
400,1,11%,25%
400,2,15%,24%
400,3,11%,23%
400,4,13%,26%
400,5,12%,35%
800,1,7%,25%
800,2,8%,10%
800,3,8%,9%
800,4,9%,17%
800,5,6%,11%
